T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
14400.0,0,0,50,nu,720.0,100,0.2,0.20423350609867463,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2214374162034836,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.0220555352828145,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20215505434535957,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1967051920506429,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.976282976868765,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.2053143890942104,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.203379517706907,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.991984082668795,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.2053609325945756,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2174576218282758,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.0050352438732237,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20430769821875588,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1990448813624008,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.0029056861381105,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19337253086750952,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2470683803609555,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.012733918430917,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19987755507596305,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1722280801219984,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.0160614021853283,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20103842397957175,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1837508762532574,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9993006207214612,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.202096992917686,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1790173998486,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.947692909333566,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20991863428090488,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.239591463543362,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.045451071744744,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20193435059043952,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.219988921302651,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.0536820038615042,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.2003590295940925,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1908393293391415,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9686696055019322,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.1953917476958676,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1962093495684931,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9515002985106975,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.199123625348753,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2278985040762158,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9942340913422851,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.1961976279345631,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1887395280585116,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9472663723742663,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19964288963688753,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1837501721855337,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.0019715749569795,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.1988567305144014,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2097056527337173,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9639412264707445,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20074343216656398,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2310078585846131,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.071343039927202,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19760927654025348,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1507219588811777,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.8815365943347926,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.1936911823774511,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2047741994189862,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9688670270652904,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20944802599999254,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1776164944768994,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.0076535204053307,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20797840352546879,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1789749825440068,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.004700459211104,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19289312617293544,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.0964892104228716,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.8254183556324868,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20154765790365592,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.241284850218531,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.062568188889592,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19994517278524168,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.190217792215292,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9883032931386384,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20221755036731937,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1523847434836643,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9060124791086879,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20469955847354313,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2496120961520163,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.0944262418742343,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19708058667079736,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.179871801196239,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.926247522140135,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20236616447062672,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1554002021464123,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.957712181568761,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.1933990521172759,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1352593499957133,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9188601135827896,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19965334233555573,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2466614856381184,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.0606039318041414,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19853858262817117,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1945959086325288,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.994667464440351,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19963961329410804,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1351363784320676,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.8864768020961966,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20966832819493195,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1966392811993227,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.006190950803143,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20521876685951995,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2165035658132661,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.045805231585263,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20593082484188588,Biweight 1440.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1628257058674205,Biweight 1440.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9655376287043635,Biweight 1440.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.2021900558468121,Biweight 1440.0 width
