,T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
0,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.11725520702781432,Adaptive Biweight with first width 1680.0
1,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0559435592575104,Adaptive Biweight with first width 1680.0
2,8400.0,0,0,50,beta,420.0,100,2.0,1.6995441094432628,Adaptive Biweight with first width 1680.0
3,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.11187781659485667,Adaptive Biweight with first width 1680.0
4,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0465508403978172,Adaptive Biweight with first width 1680.0
5,8400.0,0,0,50,beta,420.0,100,2.0,2.3345105451823414,Adaptive Biweight with first width 1680.0
6,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.1172127687102178,Adaptive Biweight with first width 1680.0
7,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.8369901415096768,Adaptive Biweight with first width 1680.0
8,8400.0,0,0,50,beta,420.0,100,2.0,2.735921209504326,Adaptive Biweight with first width 1680.0
9,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.12235884888811625,Adaptive Biweight with first width 1680.0
10,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0819631004342678,Adaptive Biweight with first width 1680.0
11,8400.0,0,0,50,beta,420.0,100,2.0,1.8216088260925247,Adaptive Biweight with first width 1680.0
12,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.12501332888212496,Adaptive Biweight with first width 1680.0
13,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2203417896146518,Adaptive Biweight with first width 1680.0
14,8400.0,0,0,50,beta,420.0,100,2.0,2.031405785954985,Adaptive Biweight with first width 1680.0
15,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.13278238296034095,Adaptive Biweight with first width 1680.0
16,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.7605781972617012,Adaptive Biweight with first width 1680.0
17,8400.0,0,0,50,beta,420.0,100,2.0,2.7882004333839903,Adaptive Biweight with first width 1680.0
18,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.12095433385241892,Adaptive Biweight with first width 1680.0
19,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.3157546884631877,Adaptive Biweight with first width 1680.0
20,8400.0,0,0,50,beta,420.0,100,2.0,2.359841830894564,Adaptive Biweight with first width 1680.0
21,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10488952963941232,Adaptive Biweight with first width 1680.0
22,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.4196039242318916,Adaptive Biweight with first width 1680.0
23,8400.0,0,0,50,beta,420.0,100,2.0,1.9799742361832515,Adaptive Biweight with first width 1680.0
24,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.1130195615927696,Adaptive Biweight with first width 1680.0
25,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.9127495183578888,Adaptive Biweight with first width 1680.0
26,8400.0,0,0,50,beta,420.0,100,2.0,1.6839236999306844,Adaptive Biweight with first width 1680.0
27,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10930390983122376,Adaptive Biweight with first width 1680.0
28,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.8392848004062926,Adaptive Biweight with first width 1680.0
29,8400.0,0,0,50,beta,420.0,100,2.0,1.6585479766365363,Adaptive Biweight with first width 1680.0
30,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10498747526484642,Adaptive Biweight with first width 1680.0
31,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.3542513582379545,Adaptive Biweight with first width 1680.0
32,8400.0,0,0,50,beta,420.0,100,2.0,2.4214151464570723,Adaptive Biweight with first width 1680.0
33,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.11469210355986385,Adaptive Biweight with first width 1680.0
34,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.1844007305719957,Adaptive Biweight with first width 1680.0
35,8400.0,0,0,50,beta,420.0,100,2.0,1.9845352236987968,Adaptive Biweight with first width 1680.0
36,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.13055615117807165,Adaptive Biweight with first width 1680.0
37,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.197211090028497,Adaptive Biweight with first width 1680.0
38,8400.0,0,0,50,beta,420.0,100,2.0,1.821065411791262,Adaptive Biweight with first width 1680.0
39,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.09777115081139072,Adaptive Biweight with first width 1680.0
40,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0105020258219537,Adaptive Biweight with first width 1680.0
41,8400.0,0,0,50,beta,420.0,100,2.0,1.5911160858183306,Adaptive Biweight with first width 1680.0
42,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10499442961902034,Adaptive Biweight with first width 1680.0
43,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.7297588222189456,Adaptive Biweight with first width 1680.0
44,8400.0,0,0,50,beta,420.0,100,2.0,1.4894026887744642,Adaptive Biweight with first width 1680.0
45,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.12495794046914208,Adaptive Biweight with first width 1680.0
46,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0540191223099726,Adaptive Biweight with first width 1680.0
47,8400.0,0,0,50,beta,420.0,100,2.0,1.6997544389709152,Adaptive Biweight with first width 1680.0
48,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.13087463268495778,Adaptive Biweight with first width 1680.0
49,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0541366776617231,Adaptive Biweight with first width 1680.0
50,8400.0,0,0,50,beta,420.0,100,2.0,2.3192428053213185,Adaptive Biweight with first width 1680.0
51,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10172973742632237,Adaptive Biweight with first width 1680.0
52,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.9385027340278864,Adaptive Biweight with first width 1680.0
53,8400.0,0,0,50,beta,420.0,100,2.0,1.66152414038079,Adaptive Biweight with first width 1680.0
54,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10523292257255698,Adaptive Biweight with first width 1680.0
55,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2584675051004657,Adaptive Biweight with first width 1680.0
56,8400.0,0,0,50,beta,420.0,100,2.0,2.1467213946580004,Adaptive Biweight with first width 1680.0
57,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.1334136334586586,Adaptive Biweight with first width 1680.0
58,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2176442283983853,Adaptive Biweight with first width 1680.0
59,8400.0,0,0,50,beta,420.0,100,2.0,2.0961759630302605,Adaptive Biweight with first width 1680.0
60,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.11504754875034888,Adaptive Biweight with first width 1680.0
61,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.1952478255066332,Adaptive Biweight with first width 1680.0
