,T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
0,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22375984839782767,Adaptive Biweight with first width 2400.0
1,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.239627999374815,Adaptive Biweight with first width 2400.0
2,12000.0,0,0,50,beta,600.0,100,2.0,1.9740234731851491,Adaptive Biweight with first width 2400.0
3,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20239688692056,Adaptive Biweight with first width 2400.0
4,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.217696856179521,Adaptive Biweight with first width 2400.0
5,12000.0,0,0,50,beta,600.0,100,2.0,1.867228555693681,Adaptive Biweight with first width 2400.0
6,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.219488706689976,Adaptive Biweight with first width 2400.0
7,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2714208827337792,Adaptive Biweight with first width 2400.0
8,12000.0,0,0,50,beta,600.0,100,2.0,1.9367091727083932,Adaptive Biweight with first width 2400.0
9,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21965903488221256,Adaptive Biweight with first width 2400.0
10,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2336449773234994,Adaptive Biweight with first width 2400.0
11,12000.0,0,0,50,beta,600.0,100,2.0,1.8408002183752712,Adaptive Biweight with first width 2400.0
12,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22248401076913712,Adaptive Biweight with first width 2400.0
13,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3596158987616245,Adaptive Biweight with first width 2400.0
14,12000.0,0,0,50,beta,600.0,100,2.0,2.125134921936524,Adaptive Biweight with first width 2400.0
15,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.23990025055819555,Adaptive Biweight with first width 2400.0
16,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.4270106781071188,Adaptive Biweight with first width 2400.0
17,12000.0,0,0,50,beta,600.0,100,2.0,2.220742551195632,Adaptive Biweight with first width 2400.0
18,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20525344438554816,Adaptive Biweight with first width 2400.0
19,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2980742667999503,Adaptive Biweight with first width 2400.0
20,12000.0,0,0,50,beta,600.0,100,2.0,1.935230487100832,Adaptive Biweight with first width 2400.0
21,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2217590881018441,Adaptive Biweight with first width 2400.0
22,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2422212993109751,Adaptive Biweight with first width 2400.0
23,12000.0,0,0,50,beta,600.0,100,2.0,1.9836736395008492,Adaptive Biweight with first width 2400.0
24,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21971023803780992,Adaptive Biweight with first width 2400.0
25,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2195163858305538,Adaptive Biweight with first width 2400.0
26,12000.0,0,0,50,beta,600.0,100,2.0,2.0148188779511016,Adaptive Biweight with first width 2400.0
27,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21584917880202284,Adaptive Biweight with first width 2400.0
28,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2693876218326443,Adaptive Biweight with first width 2400.0
29,12000.0,0,0,50,beta,600.0,100,2.0,1.9239048320474577,Adaptive Biweight with first width 2400.0
30,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2268588714605717,Adaptive Biweight with first width 2400.0
31,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3941311964057497,Adaptive Biweight with first width 2400.0
32,12000.0,0,0,50,beta,600.0,100,2.0,2.0608696853013493,Adaptive Biweight with first width 2400.0
33,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2099499180090396,Adaptive Biweight with first width 2400.0
34,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3821605644045714,Adaptive Biweight with first width 2400.0
35,12000.0,0,0,50,beta,600.0,100,2.0,1.989172802871649,Adaptive Biweight with first width 2400.0
36,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21003011634285496,Adaptive Biweight with first width 2400.0
37,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2346602209879165,Adaptive Biweight with first width 2400.0
38,12000.0,0,0,50,beta,600.0,100,2.0,1.9346769368215972,Adaptive Biweight with first width 2400.0
39,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21763978319209146,Adaptive Biweight with first width 2400.0
40,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2971935106829104,Adaptive Biweight with first width 2400.0
41,12000.0,0,0,50,beta,600.0,100,2.0,1.952160197411563,Adaptive Biweight with first width 2400.0
42,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20491961743782447,Adaptive Biweight with first width 2400.0
43,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3564387707102492,Adaptive Biweight with first width 2400.0
44,12000.0,0,0,50,beta,600.0,100,2.0,2.0305567005242744,Adaptive Biweight with first width 2400.0
45,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2309934960119379,Adaptive Biweight with first width 2400.0
46,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.0437574734713821,Adaptive Biweight with first width 2400.0
47,12000.0,0,0,50,beta,600.0,100,2.0,1.6662584861718197,Adaptive Biweight with first width 2400.0
48,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.24572169915305736,Adaptive Biweight with first width 2400.0
49,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.324384109928966,Adaptive Biweight with first width 2400.0
50,12000.0,0,0,50,beta,600.0,100,2.0,2.1110065259942723,Adaptive Biweight with first width 2400.0
51,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21206872243550226,Adaptive Biweight with first width 2400.0
52,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3027379152144176,Adaptive Biweight with first width 2400.0
53,12000.0,0,0,50,beta,600.0,100,2.0,1.9727306525466215,Adaptive Biweight with first width 2400.0
54,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2170629574702301,Adaptive Biweight with first width 2400.0
55,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.0864082972642295,Adaptive Biweight with first width 2400.0
56,12000.0,0,0,50,beta,600.0,100,2.0,1.7307747157886832,Adaptive Biweight with first width 2400.0
57,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2079438101726187,Adaptive Biweight with first width 2400.0
58,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2766511735323287,Adaptive Biweight with first width 2400.0
59,12000.0,0,0,50,beta,600.0,100,2.0,1.8901693053624096,Adaptive Biweight with first width 2400.0
60,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2316914499855318,Adaptive Biweight with first width 2400.0
61,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2895495434516648,Adaptive Biweight with first width 2400.0
62,12000.0,0,0,50,beta,600.0,100,2.0,2.077979261662436,Adaptive Biweight with first width 2400.0
63,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20953101475958974,Adaptive Biweight with first width 2400.0
64,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2970046179254713,Adaptive Biweight with first width 2400.0
65,12000.0,0,0,50,beta,600.0,100,2.0,2.0706364534942456,Adaptive Biweight with first width 2400.0
66,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21590048468109815,Adaptive Biweight with first width 2400.0
67,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2537616727984644,Adaptive Biweight with first width 2400.0
68,12000.0,0,0,50,beta,600.0,100,2.0,1.9551928263060632,Adaptive Biweight with first width 2400.0
69,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21202787583229127,Adaptive Biweight with first width 2400.0
70,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2702237393936435,Adaptive Biweight with first width 2400.0
71,12000.0,0,0,50,beta,600.0,100,2.0,1.9177047629765158,Adaptive Biweight with first width 2400.0
72,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2369056414254057,Adaptive Biweight with first width 2400.0
73,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3399424609175536,Adaptive Biweight with first width 2400.0
74,12000.0,0,0,50,beta,600.0,100,2.0,2.197729485327652,Adaptive Biweight with first width 2400.0
75,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2094896729080381,Adaptive Biweight with first width 2400.0
76,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3248564908719864,Adaptive Biweight with first width 2400.0
77,12000.0,0,0,50,beta,600.0,100,2.0,1.9602720974885108,Adaptive Biweight with first width 2400.0
78,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22974585656860316,Adaptive Biweight with first width 2400.0
79,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3882195434165443,Adaptive Biweight with first width 2400.0
80,12000.0,0,0,50,beta,600.0,100,2.0,2.152298845182718,Adaptive Biweight with first width 2400.0
81,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22175011751822596,Adaptive Biweight with first width 2400.0
82,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3133910686415196,Adaptive Biweight with first width 2400.0
83,12000.0,0,0,50,beta,600.0,100,2.0,1.9149047806683617,Adaptive Biweight with first width 2400.0
84,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2307711668841888,Adaptive Biweight with first width 2400.0
85,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2612115230804763,Adaptive Biweight with first width 2400.0
86,12000.0,0,0,50,beta,600.0,100,2.0,1.9505238989205804,Adaptive Biweight with first width 2400.0
87,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22878466418483304,Adaptive Biweight with first width 2400.0
88,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2754933130371555,Adaptive Biweight with first width 2400.0
89,12000.0,0,0,50,beta,600.0,100,2.0,1.97543728794969,Adaptive Biweight with first width 2400.0
90,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21495878357504355,Adaptive Biweight with first width 2400.0
91,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.316808236030747,Adaptive Biweight with first width 2400.0
92,12000.0,0,0,50,beta,600.0,100,2.0,2.0016795120793667,Adaptive Biweight with first width 2400.0
93,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21167996577852305,Adaptive Biweight with first width 2400.0
94,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.4886500841687855,Adaptive Biweight with first width 2400.0
95,12000.0,0,0,50,beta,600.0,100,2.0,2.266825235097558,Adaptive Biweight with first width 2400.0
96,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2402383652353677,Adaptive Biweight with first width 2400.0
97,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.295518232622554,Adaptive Biweight with first width 2400.0
98,12000.0,0,0,50,beta,600.0,100,2.0,2.0289001889609577,Adaptive Biweight with first width 2400.0
99,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.23759517836655505,Adaptive Biweight with first width 2400.0
100,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.1106234974228495,Adaptive Biweight with first width 2400.0
101,12000.0,0,0,50,beta,600.0,100,2.0,1.7281865892282615,Adaptive Biweight with first width 2400.0
102,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2292093977073972,Adaptive Biweight with first width 2400.0
