T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
14400.0,0,0,50,nu,720.0,100,0.2,0.21367111651461168,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1651352946088922,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.0145764951600453,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.22452512110963915,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.0905320884622178,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9322710681013067,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19537926930003163,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2357950424482034,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9874643349743362,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.21528557143126825,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.3492436835812014,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.382835387264525,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20088991931643826,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.0826766811045403,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.8276799828716563,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.18776740128026337,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.306806847979879,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.086241943321911,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.18807013320706345,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.2368827668903088,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.118352491416237,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.21212055480530406,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.3232059742558038,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.2069208321760803,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.2259790419308032,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.220775890873659,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.1089094097410297,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.22541079711238957,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.3118889572743095,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.2079482113553848,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20134707015914854,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.242977603157137,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.095543571432097,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.20964781501291957,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.0665733768660461,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.752847043585178,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.2164379065302992,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.3256170909721376,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.159069236551387,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.1991832295914796,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.1868298482554516,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.930745723203154,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19030693804755863,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.217145595708917,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.9857459553174328,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.19468523913400018,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,0.9860907189688618,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.552563541562893,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.1793291850304701,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.107489531853615,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,1.7618908933853623,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.21808613323700599,Biweight 2880.0 width
14400.0,0,0,50,alpha,720.0,100,1.2,1.427906254798105,Biweight 2880.0 width
14400.0,0,0,50,beta,720.0,100,2.0,2.5320710545891605,Biweight 2880.0 width
14400.0,0,0,50,nu,720.0,100,0.2,0.18641649073532057,Biweight 2880.0 width
