T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
9600.0,0,0,50,nu,480.0,100,0.2,0.2020472594134487,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.399636746492922,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,2.0885885568403104,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.16754512116885234,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.3955500019198268,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,1.9536280879514296,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.21988849812623867,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.4893755238684707,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,2.329910408429813,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.16559357219212675,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.2967109036204885,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,1.7414633422740842,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.22105990051277954,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.504879123227674,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,1.998113447886264,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.19279431289944474,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.4486448369777094,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,2.289427449438413,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.21962489811861385,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.5468727085296452,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,2.2820705829070023,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.2201793329654151,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.390358592827151,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,2.0532179344428183,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.1928606372962306,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.2173516275740126,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,1.8023110268945803,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.1895615304200393,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.1628810298533434,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,1.8485134051217047,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.1907252469402895,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.4025223358235044,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,2.0210461036804253,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.17170735055822106,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.2930846262004008,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,2.018136336261096,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.1864770632875934,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.3162755029183202,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,beta,480.0,100,2.0,1.919642220734193,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,nu,480.0,100,0.2,0.17420461895775888,"Adaptive Biweight with first width 1920.0, second HATDEP"
9600.0,0,0,50,alpha,480.0,100,1.4,1.413137422278118,"Adaptive Biweight with first width 1920.0, second HATDEP"
