T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22532955106017255,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2437356217745412,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.962288355720757,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20587540725773468,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2458814068281452,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.890848880622976,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22060426165853086,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2788242238522614,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.9388012212212393,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2219411049058394,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2487955615817388,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.8536931396838028,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22434694900871224,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3797814816509908,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,2.1379782247580756,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.24078981130174687,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.4408542088957688,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,2.2165265649826598,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20842855241648026,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3065898037590693,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.9462119486872658,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22566245023540643,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.254912666229984,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.989267797994245,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22274409449256438,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2332505797678985,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,2.015914595528718,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21869467914447133,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.294632418093507,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.9475749858549916,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22739297023043428,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3860627834897403,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,2.0514335004817212,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21059250732116963,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.383394514743634,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.9779993027191778,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21365410649657157,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2478324654564685,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.9335918583853915,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21902986532475002,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3085809569143678,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.963040950677795,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20707498405169394,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.357892527907729,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,2.022854538917722,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.23331533681261052,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.0759021884832165,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.700411248425487,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.24599154071745738,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.325874740872458,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,2.084321371819836,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21717444266526062,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3153974550852323,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.9829352440699286,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2213102547647399,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.100787344903607,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.7548563033300604,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20940563097023257,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2844419924866275,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.8755398386278117,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.23220883879867854,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2939103822877975,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,2.060564734838712,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.212809118747094,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3089551621128246,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,2.068309080380158,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21898237660671172,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2723427951727238,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.9692348348108348,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.212980622752955,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2743773621833017,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.905664542126829,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.23873096410580769,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3441234540994533,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,2.1815553231650093,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21258859160141175,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3399975436597646,Adaptive Biweight with first width 2400.0
12000.0,0,0,50,beta,600.0,100,2.0,1.9682192495453321,Adaptive Biweight with first width 2400.0
