T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21407557253550352,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2759746638829779,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,2.0163996438920617,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.19332300916185832,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.13070531104761,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.8475992149144331,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2255879082416875,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2355958848311688,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.9390394848834713,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21006984334890624,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.1708158314116583,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.7398724067494822,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21590851985818724,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2512068099588518,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,2.112325276918471,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.229990568064678,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3129570786937756,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,2.206731715229807,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.1989029433579305,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.256197006114299,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.91383907617232,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20500144399506032,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.1848920155793141,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.9215326461712852,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2152308855059083,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.1726917522004054,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,2.0139471737118835,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20481240363472872,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.18319590643039,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.8190297262675115,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.23039005473935448,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.4586286114918015,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,2.148458520414245,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20941147385257639,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3308123720893328,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.989075242492502,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.1979032099315484,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.214755698529014,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.935873265508655,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21201204620437675,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.185759384510663,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.8613487006556524,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.1972287114986492,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2898488158016743,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,2.0127981365025414,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.22496264755971132,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,0.9716902343890899,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.578120216317188,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.24041173064852767,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3489734228975412,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,2.216779497651819,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.1902852550553041,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.1814615472517407,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.8471231300896436,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20679791446631676,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,0.9799532906639078,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.591309765641164,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.19980026673322368,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2205392981601093,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.8923808434115204,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.23086780076024074,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2365542574752313,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,2.0853976185142002,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.19452645494113838,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3075730570611364,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,2.0987035611999767,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2056439831110387,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.0725676080654833,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.7956431529370835,Biweight 2400.0 width
12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.19391020056669753,Biweight 2400.0 width
12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.2739786044682586,Biweight 2400.0 width
12000.0,0,0,50,beta,600.0,100,2.0,1.9302545740800503,Biweight 2400.0 width
